epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time
1,0.5660749156797608,,,99.99,0.9999999899992078,,
2,0.38833754415703864,,,99.99,0.9999999899992078,,
3,0.2541058793718462,,,99.99,0.9999802934390433,,
4,0.17182895158446468,,,99.995,0.9999024722748289,,
5,0.12073737763590307,,,99.99,0.9999216037902362,,
