epoch,train_loss,val_acc,val_auc,val_f1
1,0.4358143911065306,99.99,0.9999999700000001,0.9999000099990001
2,0.32673906143993087,100.0,1.0,1.0
3,0.25292387721852366,100.0,1.0,1.0
4,0.1899604451122406,99.985,1.0,0.9998500224966255
5,0.12170098687929035,100.0,1.0,1.0
