epoch,train_loss,val_acc,val_auc,val_f1
1,0.016322460441380887,99.835,0.9999996800000001,0.9983472730004508
2,0.0010292510700072467,100.0,1.0,1.0
3,6.079298003804559e-05,100.0,1.0,1.0
4,0.0009734173660740993,99.995,1.0,0.999950002499875
5,0.00012914944866091672,100.0,1.0,1.0
