label,model,group,train_seed,noise_aware,threat,level,pert_seed,acc
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.08,0,99.7875
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.1,0,99.295
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.12,0,97.7325
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.14,0,95.8575
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.16,0,92.2525
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.2,0,71.3
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,0,0,99.995
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,100,0,91.9125
qresnet_q6l2strong_seed1,qresnet,qresnet_q6l2strong,1,False,noise,0.0,0,99.995
qresnet_q6l2strong_seed1,qresnet,qresnet_q6l2strong,1,False,noise,0.08,0,96.005
qresnet_q6l2strong_seed1,qresnet,qresnet_q6l2strong,1,False,noise,0.1,0,77.1
qresnet_q6l2strong_seed1,qresnet,qresnet_q6l2strong,1,False,noise,0.12,0,73.4675
qresnet_q6l2strong_seed1,qresnet,qresnet_q6l2strong,1,False,noise,0.14,0,66.3325
qresnet_q6l2strong_seed1,qresnet,qresnet_q6l2strong,1,False,noise,0.16,0,54.3575
qresnet_q6l2strong_seed1,qresnet,qresnet_q6l2strong,1,False,noise,0.2,0,38.1425
qresnet_q6l2strong_seed1,qresnet,qresnet_q6l2strong,1,False,occlusion,0,0,99.995
qresnet_q6l2strong_seed1,qresnet,qresnet_q6l2strong,1,False,occlusion,100,0,92.2125
qresnet_q6l2strong_seed2,qresnet,qresnet_q6l2strong,2,False,noise,0.0,0,99.9925
qresnet_q6l2strong_seed2,qresnet,qresnet_q6l2strong,2,False,noise,0.08,0,68.4775
qresnet_q6l2strong_seed2,qresnet,qresnet_q6l2strong,2,False,noise,0.1,0,56.9325
qresnet_q6l2strong_seed2,qresnet,qresnet_q6l2strong,2,False,noise,0.12,0,50.655
qresnet_q6l2strong_seed2,qresnet,qresnet_q6l2strong,2,False,noise,0.14,0,50.0275
qresnet_q6l2strong_seed2,qresnet,qresnet_q6l2strong,2,False,noise,0.16,0,50.0
qresnet_q6l2strong_seed2,qresnet,qresnet_q6l2strong,2,False,noise,0.2,0,50.0
qresnet_q6l2strong_seed2,qresnet,qresnet_q6l2strong,2,False,occlusion,0,0,99.9925
qresnet_q6l2strong_seed2,qresnet,qresnet_q6l2strong,2,False,occlusion,100,0,91.065
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.0,0,99.995
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.08,0,52.155
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.1,0,50.1025
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.12,0,50.005
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.14,0,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.16,0,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,noise,0.2,0,50.0
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,0,0,99.995
qresnet_q8l2strong_seed0,qresnet,qresnet_q8l2strong,0,False,occlusion,100,0,94.7975
qresnet_q8l2strong_seed1,qresnet,qresnet_q8l2strong,1,False,noise,0.0,0,99.99
qresnet_q8l2strong_seed1,qresnet,qresnet_q8l2strong,1,False,noise,0.08,0,87.205
qresnet_q8l2strong_seed1,qresnet,qresnet_q8l2strong,1,False,noise,0.1,0,78.7675
qresnet_q8l2strong_seed1,qresnet,qresnet_q8l2strong,1,False,noise,0.12,0,67.63
qresnet_q8l2strong_seed1,qresnet,qresnet_q8l2strong,1,False,noise,0.14,0,46.2625
qresnet_q8l2strong_seed1,qresnet,qresnet_q8l2strong,1,False,noise,0.16,0,44.8825
qresnet_q8l2strong_seed1,qresnet,qresnet_q8l2strong,1,False,noise,0.2,0,52.2325
qresnet_q8l2strong_seed1,qresnet,qresnet_q8l2strong,1,False,occlusion,0,0,99.99
qresnet_q8l2strong_seed1,qresnet,qresnet_q8l2strong,1,False,occlusion,100,0,90.225
qresnet_q8l2strong_seed2,qresnet,qresnet_q8l2strong,2,False,noise,0.0,0,99.99
qresnet_q8l2strong_seed2,qresnet,qresnet_q8l2strong,2,False,noise,0.08,0,98.675
qresnet_q8l2strong_seed2,qresnet,qresnet_q8l2strong,2,False,noise,0.1,0,92.2325
qresnet_q8l2strong_seed2,qresnet,qresnet_q8l2strong,2,False,noise,0.12,0,78.3675
qresnet_q8l2strong_seed2,qresnet,qresnet_q8l2strong,2,False,noise,0.14,0,86.055
qresnet_q8l2strong_seed2,qresnet,qresnet_q8l2strong,2,False,noise,0.16,0,53.9175
qresnet_q8l2strong_seed2,qresnet,qresnet_q8l2strong,2,False,noise,0.2,0,48.2425
qresnet_q8l2strong_seed2,qresnet,qresnet_q8l2strong,2,False,occlusion,0,0,99.99
qresnet_q8l2strong_seed2,qresnet,qresnet_q8l2strong,2,False,occlusion,100,0,92.835
