epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time
1,0.01586522887657232,,,99.985,0.9999999299944549,,
2,0.00021923008666875816,,,99.995,0.9999999799984156,,
3,2.450676299883627e-05,,,99.99,1.0,,
4,6.65313248609276e-06,,,99.99,1.0,,
5,3.09422170752777e-06,,,99.995,1.0,,
