label,model,group,train_seed,noise_aware,threat,level,pert_seed,acc
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,noise,0.16,0,50.0125
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,noise,0.16,1,50.0125
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,noise,0.16,2,50.0075
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,noise,0.2,0,49.9975
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,noise,0.2,1,49.995
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,noise,0.2,2,50.0
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,0,0,99.995
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,0,1,99.995
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,0,2,99.995
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,40,0,97.74
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,40,1,97.57
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,40,2,97.585
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,80,0,95.0075
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,80,1,95.1875
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,80,2,95.1475
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,100,0,93.3075
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,100,1,93.3325
qresnet_q4l3strong_seed0,qresnet,qresnet_q4l3strong,0,False,occlusion,100,2,93.1875
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.0,0,99.995
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.0,1,99.995
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.0,2,99.995
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.06,0,99.975
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.06,1,99.9675
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.06,2,99.9625
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.08,0,99.7875
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.08,1,99.7925
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.08,2,99.79
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.1,0,99.295
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.1,1,99.2725
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.1,2,99.2225
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.12,0,97.7325
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.12,1,97.67
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.12,2,97.7225
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.14,0,95.8575
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.14,1,95.975
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.14,2,95.7225
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.16,0,92.2525
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.16,1,92.285
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.16,2,92.04
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.2,0,71.3
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.2,1,71.4175
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,noise,0.2,2,71.455
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,0,0,99.995
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,0,1,99.995
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,0,2,99.995
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,40,0,96.8775
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,40,1,96.9525
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,40,2,96.7975
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,80,0,94.2
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,80,1,94.1775
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,80,2,94.22
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,100,0,91.9125
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,100,1,91.905
qresnet_q6l2strong_seed0,qresnet,qresnet_q6l2strong,0,False,occlusion,100,2,91.86
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.0,0,99.99
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.0,1,99.99
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.0,2,99.99
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.06,0,95.545
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.06,1,95.6475
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.06,2,95.57
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.08,0,82.9275
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.08,1,82.9575
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.08,2,83.1425
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.1,0,76.105
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.1,1,76.31
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.1,2,76.52
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.12,0,70.8325
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.12,1,71.0
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.12,2,71.2425
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.14,0,62.5725
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.14,1,62.6475
qresnet_q6l3strong_seed0,qresnet,qresnet_q6l3strong,0,False,noise,0.14,2,63.1075
