[log] 2026-06-11T23:28:32 writing console to experiments_revision/logs/train_qresnet_20260611_232832.log
--> [INFO] Found 200000 images. Classes: ['benign', 'malicious']
--> [INFO] Stratified split: train=140000 val=20000 test=40000
[qresnet_seed0] epoch 1/5 batch 1801/2188 loss=0.4032 (917 img/s)
[qresnet_seed0] epoch 1/5 batch 1826/2188 loss=0.4020 (916 img/s)
[qresnet_seed0] epoch 1/5 batch 1851/2188 loss=0.4008 (917 img/s)
[qresnet_seed0] epoch 1/5 batch 1876/2188 loss=0.3996 (917 img/s)
[qresnet_seed0] epoch 1/5 batch 1901/2188 loss=0.3985 (918 img/s)
[qresnet_seed0] epoch 1/5 batch 1926/2188 loss=0.3973 (918 img/s)
[qresnet_seed0] epoch 1/5 batch 1951/2188 loss=0.3961 (918 img/s)
[qresnet_seed0] epoch 1/5 batch 1976/2188 loss=0.3950 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2001/2188 loss=0.3939 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2026/2188 loss=0.3928 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2051/2188 loss=0.3916 (918 img/s)
[qresnet_seed0] epoch 1/5 batch 2076/2188 loss=0.3905 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2101/2188 loss=0.3895 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2126/2188 loss=0.3884 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2151/2188 loss=0.3873 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2176/2188 loss=0.3862 (919 img/s)
[qresnet_seed0] epoch 1/5 batch 2188/2188 loss=0.3857 (918 img/s)
[qresnet_seed0] epoch 1/5 loss=0.3857 val_acc=100.00 val_auc=1.0000
[qresnet_seed0] epoch 2/5 batch 1/2188 loss=0.2887 (133 img/s)
[qresnet_seed0] epoch 2/5 batch 26/2188 loss=0.2896 (756 img/s)
[qresnet_seed0] epoch 2/5 batch 51/2188 loss=0.2888 (825 img/s)
[qresnet_seed0] epoch 2/5 batch 76/2188 loss=0.2881 (859 img/s)
[qresnet_seed0] epoch 2/5 batch 101/2188 loss=0.2874 (873 img/s)
[qresnet_seed0] epoch 2/5 batch 126/2188 loss=0.2865 (883 img/s)
[qresnet_seed0] epoch 2/5 batch 151/2188 loss=0.2857 (881 img/s)
[qresnet_seed0] epoch 2/5 batch 176/2188 loss=0.2848 (882 img/s)
[qresnet_seed0] epoch 2/5 batch 201/2188 loss=0.2840 (888 img/s)
[qresnet_seed0] epoch 2/5 batch 226/2188 loss=0.2832 (893 img/s)
[qresnet_seed0] epoch 2/5 batch 251/2188 loss=0.2824 (896 img/s)
[qresnet_seed0] epoch 2/5 batch 276/2188 loss=0.2815 (898 img/s)
[qresnet_seed0] epoch 2/5 batch 301/2188 loss=0.2808 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 326/2188 loss=0.2799 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 351/2188 loss=0.2790 (903 img/s)
[qresnet_seed0] epoch 2/5 batch 376/2188 loss=0.2782 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 401/2188 loss=0.2773 (897 img/s)
[qresnet_seed0] epoch 2/5 batch 426/2188 loss=0.2765 (894 img/s)
[qresnet_seed0] epoch 2/5 batch 451/2188 loss=0.2756 (894 img/s)
[qresnet_seed0] epoch 2/5 batch 476/2188 loss=0.2748 (896 img/s)
[qresnet_seed0] epoch 2/5 batch 501/2188 loss=0.2739 (897 img/s)
[qresnet_seed0] epoch 2/5 batch 526/2188 loss=0.2730 (898 img/s)
[qresnet_seed0] epoch 2/5 batch 551/2188 loss=0.2722 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 576/2188 loss=0.2713 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 601/2188 loss=0.2705 (900 img/s)
[qresnet_seed0] epoch 2/5 batch 626/2188 loss=0.2696 (900 img/s)
[qresnet_seed0] epoch 2/5 batch 651/2188 loss=0.2687 (900 img/s)
[qresnet_seed0] epoch 2/5 batch 676/2188 loss=0.2678 (900 img/s)
[qresnet_seed0] epoch 2/5 batch 701/2188 loss=0.2669 (900 img/s)
[qresnet_seed0] epoch 2/5 batch 726/2188 loss=0.2660 (900 img/s)
[qresnet_seed0] epoch 2/5 batch 751/2188 loss=0.2651 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 776/2188 loss=0.2643 (898 img/s)
[qresnet_seed0] epoch 2/5 batch 801/2188 loss=0.2634 (898 img/s)
[qresnet_seed0] epoch 2/5 batch 826/2188 loss=0.2625 (898 img/s)
[qresnet_seed0] epoch 2/5 batch 851/2188 loss=0.2616 (898 img/s)
[qresnet_seed0] epoch 2/5 batch 876/2188 loss=0.2607 (898 img/s)
[qresnet_seed0] epoch 2/5 batch 901/2188 loss=0.2598 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 926/2188 loss=0.2589 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 951/2188 loss=0.2580 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 976/2188 loss=0.2571 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 1001/2188 loss=0.2561 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 1026/2188 loss=0.2552 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 1051/2188 loss=0.2543 (898 img/s)
[qresnet_seed0] epoch 2/5 batch 1076/2188 loss=0.2533 (897 img/s)
[qresnet_seed0] epoch 2/5 batch 1101/2188 loss=0.2524 (897 img/s)
[qresnet_seed0] epoch 2/5 batch 1126/2188 loss=0.2514 (897 img/s)
[qresnet_seed0] epoch 2/5 batch 1151/2188 loss=0.2505 (897 img/s)
[qresnet_seed0] epoch 2/5 batch 1176/2188 loss=0.2496 (897 img/s)
[qresnet_seed0] epoch 2/5 batch 1201/2188 loss=0.2486 (897 img/s)
[qresnet_seed0] epoch 2/5 batch 1226/2188 loss=0.2477 (897 img/s)
[qresnet_seed0] epoch 2/5 batch 1251/2188 loss=0.2467 (897 img/s)
[qresnet_seed0] epoch 2/5 batch 1276/2188 loss=0.2458 (899 img/s)
[qresnet_seed0] epoch 2/5 batch 1301/2188 loss=0.2448 (900 img/s)
[qresnet_seed0] epoch 2/5 batch 1326/2188 loss=0.2439 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1351/2188 loss=0.2429 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1376/2188 loss=0.2420 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1401/2188 loss=0.2410 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1426/2188 loss=0.2400 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1451/2188 loss=0.2391 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1476/2188 loss=0.2382 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1501/2188 loss=0.2372 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1526/2188 loss=0.2363 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1551/2188 loss=0.2353 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1576/2188 loss=0.2344 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1601/2188 loss=0.2334 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1626/2188 loss=0.2325 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1651/2188 loss=0.2315 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1676/2188 loss=0.2306 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1701/2188 loss=0.2296 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1726/2188 loss=0.2286 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1751/2188 loss=0.2277 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1776/2188 loss=0.2267 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1801/2188 loss=0.2258 (902 img/s)
[qresnet_seed0] epoch 2/5 batch 1826/2188 loss=0.2248 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1851/2188 loss=0.2242 (901 img/s)
[qresnet_seed0] epoch 2/5 batch 1876/2188 loss=0.2236 (901 img/s)
