epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time
1,0.01586698848993516,,,99.99,0.9999910492910145,,
2,8.010730888395426e-05,,,99.995,0.9999995199619761,,
3,8.476224290671186e-05,,,99.985,0.9999917793488423,,
4,0.0006988833908316615,,,99.99,0.9999997499801959,,
5,0.0004978014342313772,,,99.98,0.999999689975443,,
